crop_type,yield_tha,till_type,ipcc_translation_crop,man_type,man_nrate,ipcc_translation_manure,crop_om_input,crop_c_input,crop_n_input,crop_lignin_input,crop_n_frac,crop_lignin_frac,man_om_input,man_c_input,man_n_input,man_lignin_input,man_n_frac,man_lignin_frac
Winter rape,3.7,full,grains_nos,Dairy cattle,0,dairy_cattle,6.119748800000001,2.5702944960000003,0.04161429184000001,0.4528614112000001,0.006800000000000001,0.07400000000000001,0,0,0,0,NaN,NaN
Winter barley,7.5,full,barley,Dairy cattle,0,dairy_cattle,6.270376666666667,2.6335582000000004,0.05643339,0.2884373266666667,0.009,0.046,0,0,0,0,NaN,NaN
Winter oat,7.5,full,oats,Dairy cattle,0,dairy_cattle,6.009799166666666,2.5241156499999997,0.043871533916666663,0.2824605608333333,0.0073,0.047,0,0,0,0,NaN,NaN
Faba bean,5,full,beans_and_pulses,Dairy cattle,0,dairy_cattle,7.994385,3.3576417,0.06395508,0.5995788750000001,0.008,0.07500000000000001,0,0,0,0,NaN,NaN
Spring barley,5.83,full,barley,Dairy cattle,60,dairy_cattle,5.047381593070325,2.1199002690895363,0.04542643433763292,0.23217955328123493,0.009,0.046,2.0689655172413794,0.96,0.06,0.26896551724137935,0.028999999999999998,0.13
Winter rape,3.7,full,grains_nos,Dairy cattle,0,dairy_cattle,6.119748800000001,2.5702944960000003,0.04161429184000001,0.4528614112000001,0.006800000000000001,0.07400000000000001,0,0,0,0,NaN,NaN
Winter barley,7.5,full,barley,Dairy cattle,0,dairy_cattle,6.270376666666667,2.6335582000000004,0.05643339,0.2884373266666667,0.009,0.046,0,0,0,0,NaN,NaN
Winter oat,7.5,full,oats,Dairy cattle,0,dairy_cattle,6.009799166666666,2.5241156499999997,0.043871533916666663,0.2824605608333333,0.0073,0.047,0,0,0,0,NaN,NaN
Faba bean,5,full,beans_and_pulses,Dairy cattle,0,dairy_cattle,7.994385,3.3576417,0.06395508,0.5995788750000001,0.008,0.07500000000000001,0,0,0,0,NaN,NaN
Spring barley,5.83,full,barley,Dairy cattle,60,dairy_cattle,5.047381593070325,2.1199002690895363,0.04542643433763292,0.23217955328123493,0.009,0.046,2.0689655172413794,0.96,0.06,0.26896551724137935,0.028999999999999998,0.13
Winter rape,3.7,full,grains_nos,Dairy cattle,0,dairy_cattle,6.119748800000001,2.5702944960000003,0.04161429184000001,0.4528614112000001,0.006800000000000001,0.07400000000000001,0,0,0,0,NaN,NaN
Winter barley,7.5,full,barley,Dairy cattle,0,dairy_cattle,6.270376666666667,2.6335582000000004,0.05643339,0.2884373266666667,0.009,0.046,0,0,0,0,NaN,NaN
Winter oat,7.5,full,oats,Dairy cattle,0,dairy_cattle,6.009799166666666,2.5241156499999997,0.043871533916666663,0.2824605608333333,0.0073,0.047,0,0,0,0,NaN,NaN
Faba bean,5,full,beans_and_pulses,Dairy cattle,0,dairy_cattle,7.994385,3.3576417,0.06395508,0.5995788750000001,0.008,0.07500000000000001,0,0,0,0,NaN,NaN
Spring barley,5.83,full,barley,Dairy cattle,60,dairy_cattle,5.047381593070325,2.1199002690895363,0.04542643433763292,0.23217955328123493,0.009,0.046,2.0689655172413794,0.96,0.06,0.26896551724137935,0.028999999999999998,0.13
Winter rape,3.7,full,grains_nos,Dairy cattle,0,dairy_cattle,6.119748800000001,2.5702944960000003,0.04161429184000001,0.4528614112000001,0.006800000000000001,0.07400000000000001,0,0,0,0,NaN,NaN
Winter barley,7.5,full,barley,Dairy cattle,0,dairy_cattle,6.270376666666667,2.6335582000000004,0.05643339,0.2884373266666667,0.009,0.046,0,0,0,0,NaN,NaN
Winter oat,7.5,full,oats,Dairy cattle,0,dairy_cattle,6.009799166666666,2.5241156499999997,0.043871533916666663,0.2824605608333333,0.0073,0.047,0,0,0,0,NaN,NaN
Faba bean,5,full,beans_and_pulses,Dairy cattle,0,dairy_cattle,7.994385,3.3576417,0.06395508,0.5995788750000001,0.008,0.07500000000000001,0,0,0,0,NaN,NaN
Spring barley,5.83,full,barley,Dairy cattle,60,dairy_cattle,5.047381593070325,2.1199002690895363,0.04542643433763292,0.23217955328123493,0.009,0.046,2.0689655172413794,0.96,0.06,0.26896551724137935,0.028999999999999998,0.13
Winter rape,3.7,full,grains_nos,Dairy cattle,0,dairy_cattle,6.119748800000001,2.5702944960000003,0.04161429184000001,0.4528614112000001,0.006800000000000001,0.07400000000000001,0,0,0,0,NaN,NaN
Winter barley,7.5,full,barley,Dairy cattle,0,dairy_cattle,6.270376666666667,2.6335582000000004,0.05643339,0.2884373266666667,0.009,0.046,0,0,0,0,NaN,NaN
Winter oat,7.5,full,oats,Dairy cattle,0,dairy_cattle,6.009799166666666,2.5241156499999997,0.043871533916666663,0.2824605608333333,0.0073,0.047,0,0,0,0,NaN,NaN
Faba bean,5,full,beans_and_pulses,Dairy cattle,0,dairy_cattle,7.994385,3.3576417,0.06395508,0.5995788750000001,0.008,0.07500000000000001,0,0,0,0,NaN,NaN
Spring barley,5.83,full,barley,Dairy cattle,60,dairy_cattle,5.047381593070325,2.1199002690895363,0.04542643433763292,0.23217955328123493,0.009,0.046,2.0689655172413794,0.96,0.06,0.26896551724137935,0.028999999999999998,0.13
Winter rape,3.7,full,grains_nos,Dairy cattle,0,dairy_cattle,6.119748800000001,2.5702944960000003,0.04161429184000001,0.4528614112000001,0.006800000000000001,0.07400000000000001,0,0,0,0,NaN,NaN
Winter barley,7.5,full,barley,Dairy cattle,0,dairy_cattle,6.270376666666667,2.6335582000000004,0.05643339,0.2884373266666667,0.009,0.046,0,0,0,0,NaN,NaN
Winter oat,7.5,full,oats,Dairy cattle,0,dairy_cattle,6.009799166666666,2.5241156499999997,0.043871533916666663,0.2824605608333333,0.0073,0.047,0,0,0,0,NaN,NaN
Faba bean,5,full,beans_and_pulses,Dairy cattle,0,dairy_cattle,7.994385,3.3576417,0.06395508,0.5995788750000001,0.008,0.07500000000000001,0,0,0,0,NaN,NaN
Spring barley,5.83,full,barley,Dairy cattle,60,dairy_cattle,5.047381593070325,2.1199002690895363,0.04542643433763292,0.23217955328123493,0.009,0.046,2.0689655172413794,0.96,0.06,0.26896551724137935,0.028999999999999998,0.13
Winter rape,3.7,full,grains_nos,Dairy cattle,0,dairy_cattle,6.119748800000001,2.5702944960000003,0.04161429184000001,0.4528614112000001,0.006800000000000001,0.07400000000000001,0,0,0,0,NaN,NaN
Winter barley,7.5,full,barley,Dairy cattle,0,dairy_cattle,6.270376666666667,2.6335582000000004,0.05643339,0.2884373266666667,0.009,0.046,0,0,0,0,NaN,NaN
Winter oat,7.5,full,oats,Dairy cattle,0,dairy_cattle,6.009799166666666,2.5241156499999997,0.043871533916666663,0.2824605608333333,0.0073,0.047,0,0,0,0,NaN,NaN
Faba bean,5,full,beans_and_pulses,Dairy cattle,0,dairy_cattle,7.994385,3.3576417,0.06395508,0.5995788750000001,0.008,0.07500000000000001,0,0,0,0,NaN,NaN
Spring barley,5.83,full,barley,Dairy cattle,60,dairy_cattle,5.047381593070325,2.1199002690895363,0.04542643433763292,0.23217955328123493,0.009,0.046,2.0689655172413794,0.96,0.06,0.26896551724137935,0.028999999999999998,0.13
Winter rape,3.7,full,grains_nos,Dairy cattle,0,dairy_cattle,6.119748800000001,2.5702944960000003,0.04161429184000001,0.4528614112000001,0.006800000000000001,0.07400000000000001,0,0,0,0,NaN,NaN
Winter barley,7.5,full,barley,Dairy cattle,0,dairy_cattle,6.270376666666667,2.6335582000000004,0.05643339,0.2884373266666667,0.009,0.046,0,0,0,0,NaN,NaN
Winter oat,7.5,full,oats,Dairy cattle,0,dairy_cattle,6.009799166666666,2.5241156499999997,0.043871533916666663,0.2824605608333333,0.0073,0.047,0,0,0,0,NaN,NaN
Faba bean,5,full,beans_and_pulses,Dairy cattle,0,dairy_cattle,7.994385,3.3576417,0.06395508,0.5995788750000001,0.008,0.07500000000000001,0,0,0,0,NaN,NaN
Spring barley,5.83,full,barley,Dairy cattle,60,dairy_cattle,5.047381593070325,2.1199002690895363,0.04542643433763292,0.23217955328123493,0.009,0.046,2.0689655172413794,0.96,0.06,0.26896551724137935,0.028999999999999998,0.13
Winter rape,3.7,full,grains_nos,Dairy cattle,0,dairy_cattle,6.119748800000001,2.5702944960000003,0.04161429184000001,0.4528614112000001,0.006800000000000001,0.07400000000000001,0,0,0,0,NaN,NaN
Winter barley,7.5,full,barley,Dairy cattle,0,dairy_cattle,6.270376666666667,2.6335582000000004,0.05643339,0.2884373266666667,0.009,0.046,0,0,0,0,NaN,NaN
Winter oat,7.5,full,oats,Dairy cattle,0,dairy_cattle,6.009799166666666,2.5241156499999997,0.043871533916666663,0.2824605608333333,0.0073,0.047,0,0,0,0,NaN,NaN
Faba bean,5,full,beans_and_pulses,Dairy cattle,0,dairy_cattle,7.994385,3.3576417,0.06395508,0.5995788750000001,0.008,0.07500000000000001,0,0,0,0,NaN,NaN
Spring barley,5.83,full,barley,Dairy cattle,60,dairy_cattle,5.047381593070325,2.1199002690895363,0.04542643433763292,0.23217955328123493,0.009,0.046,2.0689655172413794,0.96,0.06,0.26896551724137935,0.028999999999999998,0.13
Winter rape,3.7,full,grains_nos,Dairy cattle,0,dairy_cattle,6.119748800000001,2.5702944960000003,0.04161429184000001,0.4528614112000001,0.006800000000000001,0.07400000000000001,0,0,0,0,NaN,NaN
